,name,total_time,n_calls,avg_time,category
57,run_training_epoch,131.50273,1,131.50273,run_training_epoch
50,run_training_batch,118.25488,80,1.47819,run_training_batch
34,[_TrainingEpochLoop].train_dataloader_next,0.01143,80,0.00014,_TrainingEpochLoop
15,[_EvaluationLoop].val_next,0.27416,14,0.01958,_EvaluationLoop
17,[Strategy]DDPGroupStrategy.batch_to_device,0.41026,94,0.00436,Strategy
45,[Strategy]DDPGroupStrategy.backward,60.68872,80,0.75861,Strategy
20,[Strategy]DDPGroupStrategy.validation_step,5.00214,14,0.3573,Strategy
37,[Strategy]DDPGroupStrategy.training_step,32.88526,80,0.41107,Strategy
16,[LightningModule]GraphForecaster.transfer_batch_to_device,0.02482,94,0.00026,LightningModule
10,[LightningModule]GraphForecaster.on_validation_model_eval,0.00345,2,0.00172,LightningModule
3,[LightningModule]GraphForecaster.setup,2e-05,1,2e-05,LightningModule
40,[LightningModule]GraphForecaster.optimizer_zero_grad,0.0906,80,0.00113,LightningModule
48,[LightningModule]GraphForecaster.configure_gradient_clipping,0.06042,80,0.00076,LightningModule
49,[LightningModule]GraphForecaster.optimizer_step,118.15025,80,1.47688,LightningModule
4,[LightningModule]GraphForecaster.configure_optimizers,0.00082,1,0.00082,LightningModule
51,[LightningModule]GraphForecaster.lr_scheduler_step,0.00206,80,3e-05,LightningModule
54,[LightningDataModule]AnemoiDatasetsDataModule.state_dict,1e-05,3,0.0,LightningDataModule
64,[LightningDataModule]AnemoiDatasetsDataModule.teardown,0.0,1,0.0,LightningDataModule
0,[LightningDataModule]AnemoiDatasetsDataModule.setup,1e-05,1,1e-05,LightningDataModule
29,[LightningDataModule]AnemoiDatasetsDataModule.train_dataloader,0.00059,1,0.00059,LightningDataModule
9,[LightningDataModule]AnemoiDatasetsDataModule.val_dataloader,0.26314,1,0.26314,LightningDataModule
0,*Callback_AnemoiCheckpoint,13.86982,1058,8.82864,*Callback_AnemoiCheckpoint
